Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000952640080888        -20.6133265927                
I2CGND              0.00104842922873         -12.6308976062                
HV2A                0.00132602597696         10.5021647464                 
R3_L1-1             0.00110206293942         -8.1614217148                 
R3_L1-3             0.00117912232278         -1.73980643538                
R3_L1-2             0.00102730498894         -14.3912509217                
HVRET               0.00110869335406         -7.60888716208                
R3_L1+3             0.00122774560782         2.31213398483                 
R3_L1+2             0.00114178789986         -4.85100834509                
R3_L1+1             0.00113940328324         -5.04972639635                
CMD_L0-             0.00275189909703         129.324924753                 
CMD_L0+             0.0008545867272          -28.7844394                   
HV4A                0.00145774452549         21.4787104578                 
-DATA               0.00105214163048         -12.3215307937                
BC_STAVE+           9.39628846606e-05        -92.1697596116                
I2CCLK              0.00107083481231         -10.7637656404                
BC_STAVE-           0.0019120219945          59.3351662084                 
+DATA               0.001122852789           -6.42893425018                
LVPOS               0.00103072437766         -14.1063018614                
ACGND2              -0.0010254704553         -185.455871275                
BC_STAVE-1          0.00107246486051         -10.6279282904                
BC_STAVE-2          0.00112959760844         -5.86686596362                
BC_STAVE-3          0.00113082870002         -5.76427499842                
HV3A                0.00132270945033         10.2257875276                 
HV1A                0.00144339492424         20.282910353                  
BC_STAVE+2          0.00114638143167         -4.46821402769                
BC_STAVE+3          0.00120374393682         0.311994734598                
BC_STAVE+1          0.0011266684697          -6.11096085858                
I2CDAT              0.00108450524746         -9.62456271178                
R3_L1+              0.00247639684259         106.36640355                  
R3_L1-              0.000302521008403        -74.7899159664                
CMD_L0-1            0.00103800473903         -13.499605081                 
CMD_L0-2            0.00114492745727         -4.58937856096                
CMD_L0-3            0.00119455291876         -0.453923436634               
CMD_L0+2            0.00106286374394         -11.4280213385                
CMD_L0+3            0.0011367732777          -5.2688935249                 
CMD_L0+1            0.00108654561313         -9.45453223885                
