Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000779933379026        -35.0055517478                
I2CGND              0.00114344073118         -4.7132724015                 
HV2A                0.00144793209664         20.6610080535                 
R3_L1-1             0.00116726664644         -2.72777946295                
R3_L1-3             0.00123589958855         2.99163237885                 
R3_L1-2             0.00107264454704         -10.6129544137                
HVRET               0.00114427001617         -4.64416531931                
R3_L1+3             0.000997478645112        -16.876779574                 
R3_L1+2             0.00117860598766         -1.78283436184                
R3_L1+1             0.00124597212072         3.83101005984                 
CMD_L0-             -0.000415651426114       -134.637618843                
CMD_L0+             0.000494057951662        -58.8285040281                
HV4A                0.00147938972983         23.2824774854                 
-DATA               0.00112799664715         -6.00027940419                
BC_STAVE+           0.000563777307963        -53.0185576697                
I2CCLK              0.00117738668492         -1.88444292343                
BC_STAVE-           -0.00142464383904        -218.72031992                 
+DATA               0.00122822078197         2.35173183062                 
LVPOS               0.00124669208343         3.89100695223                 
ACGND2              -0.000538334607322       -144.861217277                
BC_STAVE-1          0.00116506894656         -2.91092112026                
BC_STAVE-2          0.00113894903531         -5.08758039118                
BC_STAVE-3          0.00117165491073         -2.36209077217                
HV3A                0.00146735137532         22.2792812768                 
HV1A                0.00146097911239         21.7482593659                 
BC_STAVE+2          0.00121153389424         0.961157853181                
BC_STAVE+3          0.00119705841955         -0.24513170437                
BC_STAVE+1          0.00119923955362         -0.0633705314372              
I2CDAT              0.00114550246143         -4.54146154788                
R3_L1+              -0.000866738894908       -172.228241242                
R3_L1-              -0.00342857142857        -385.714285714                
CMD_L0-1            0.00118132475902         -1.55627008138                
CMD_L0-2            0.00114517374062         -4.56885494795                
CMD_L0-3            0.00127065098887         5.88758240603                 
CMD_L0+2            0.00109880546232         -8.4328781402                 
CMD_L0+3            0.00108620254135         -9.48312155403                
CMD_L0+1            0.00112699223736         -6.08398022037                
