Network             Gradient x Width         % Difference from Nominal Value
LVRET_P             0.000371681541224        -69.0265382313                
I2CGND              0.00113087259488         -5.76061709297                
HV2A                0.00149999441608         24.9995346736                 
R3_L1-1             0.00114441822025         -4.6318149792                 
R3_L1-3             0.00124748273338         3.9568944482                  
R3_L1-2             0.00104787364081         -12.6771965992                
HVRET               0.00111229008211         -7.30915982395                
R3_L1+3             0.00129867347266         8.22278938824                 
R3_L1+2             0.00118250356087         -1.45803659403                
R3_L1+1             0.00126489662318         5.40805193129                 
CMD_L0-             0.000343987387129        -71.3343844059                
CMD_L0+             0.000120176258512        -89.9853117906                
HV4A                0.00150099062191         25.0825518261                 
-DATA               0.00112566155581         -6.19487034878                
BC_STAVE+           0.000328870096312        -72.5941586407                
I2CCLK              0.00115992283993         -3.33976333898                
BC_STAVE-           -0.000974756310922       -181.229692577                
+DATA               0.00121023904245         0.853253537666                
LVPOS               0.00123525454138         2.93787844808                 
ACGND2              0.000209475590188        -82.5437008177                
BC_STAVE-1          0.00114886187353         -4.26151053913                
BC_STAVE-2          0.00116496476677         -2.91960276938                
BC_STAVE-3          0.00111762384339         -6.86467971765                
HV3A                0.00150556455028         25.4637125236                 
HV1A                0.00145210544738         21.0087872817                 
BC_STAVE+2          0.00111070790841         -7.4410076325                 
BC_STAVE+3          0.000530614680861        -55.7821099282                
BC_STAVE+1          0.00119549231946         -0.375640045281               
I2CDAT              0.00113483480127         -5.43043322765                
R3_L1+              -0.038894907909          -3341.24232575                
R3_L1-              0.00072268907563         -39.7759103641                
CMD_L0-1            0.00113434700813         -5.47108265584                
CMD_L0-2            0.00117793905522         -1.83841206528                
CMD_L0-3            0.00127177764794         5.98147066148                 
CMD_L0+2            0.00132410892377         10.3424103143                 
CMD_L0+3            0.00106848796847         -10.9593359608                
CMD_L0+1            0.00119115271652         -0.737273623278               
